Date,Sales
2021-01-31,469.54471917727136
2021-02-28,511.1513020007956
2021-03-31,463.8927125420546
2021-04-30,526.2418257551508
2021-05-31,593.6267585649035
2021-06-30,741.232371016614
2021-07-31,770.4942170247145
2021-08-31,597.3382181543249
2021-09-30,512.4491342286973
2021-10-31,498.97178140490695
2021-11-30,508.4025017577407
2021-12-31,518.4887614265252
2022-01-31,509.9323849570321
2022-02-28,520.2546833856641
2022-03-31,499.77345295849875
2022-04-30,545.5502665716617
2022-05-31,608.8179366501014
2022-06-30,753.8751901817232
2022-07-31,742.8711696406906
2022-08-31,601.5116762821865
2022-09-30,487.0506496285702
2022-10-31,481.1887279843199
2022-11-30,504.79376119668984
2022-12-31,487.842332061716
2023-01-31,481.33375618281667
2023-02-28,499.3225186674499
2023-03-31,502.10980531753063
2023-04-30,509.06439958264747
2023-05-31,589.8448018263191
2023-06-30,781.8419253496276
2023-07-31,771.5976178011152
2023-08-31,592.9272179636109
2023-09-30,562.4675187573296
2023-10-31,504.5328820740231
2023-11-30,522.6521222627645
2023-12-31,488.78046092471993
